FIRST_NAME,LAST_NAME,COUNTRY,DISPLAY_FIRST_LAST,TEAM_ABBREVIATION,SCHOOL,BIRTHDATE,TEAM_ID,TEAM_CODE,DISPLAY_FI_LAST,TEAM_CITY,PLAYERCODE,PERSON_ID,POSITION,DISPLAY_LAST_COMMA_FIRST,LAST_AFFILIATION,ROSTERSTATUS,TEAM_NAME,JERSEY
Ian,Mahinmi,France,Ian Mahinmi,IND,"Rouen, France",1986-11-05T00:00:00,1610612754,pacers,I. Mahinmi,Indiana,ian_mahinmi,101133,Center,"Mahinmi, Ian",Pau Orthez/France,Active,Pacers,28
David,Lee,USA,David Lee,GSW,Florida,1983-04-29T00:00:00,1610612744,warriors,D. Lee,Golden State,david_lee,101135,Forward,"Lee, David",Florida/USA,Active,Warriors,10
Brandon,Bass,USA,Brandon Bass,BOS,Louisiana State,1985-04-30T00:00:00,1610612738,celtics,B. Bass,Boston,brandon_bass,101138,Forward,"Bass, Brandon",Louisiana State/USA,Active,Celtics,30
CJ,Miles,USA,CJ Miles,CLE,Skyline HS (TX),1987-03-18T00:00:00,1610612739,cavaliers,C. Miles,Cleveland,cj_miles,101139,Guard,"Miles, CJ","Skyline HS (Dallas, TX)/USA",Active,Cavaliers,0
Ersan,Ilyasova,Turkey,Ersan Ilyasova,MIL,"Eskisehir, Turkey",1987-05-15T00:00:00,1610612749,bucks,E. Ilyasova,Milwaukee,ersan_ilyasova,101141,Forward,"Ilyasova, Ersan",FC Barcelona/Turkey,Active,Bucks,7
Ronny,Turiaf,France,Ronny Turiaf,MIN,Gonzaga,1983-01-13T00:00:00,1610612750,timberwolves,R. Turiaf,Minnesota,ronny_turiaf,101142,Center,"Turiaf, Ronny",Gonzaga/France,Active,Timberwolves,32
Monta,Ellis,USA,Monta Ellis,DAL,"Lanier HS (Jackson, MS)",1985-10-26T00:00:00,1610612742,mavericks,M. Ellis,Dallas,monta_ellis,101145,Guard,"Ellis, Monta","Lanier HS (Jackson, MS)/USA",Active,Mavericks,11
Louis,Williams,USA,Louis Williams,ATL,South Gwinnett HS (GA),1986-10-27T00:00:00,1610612737,hawks,L. Williams,Atlanta,louis_williams,101150,Guard,"Williams, Louis","South Gwinnett HS (Snellville, GA)/USA",Active,Hawks,3
Andray,Blatche,USA,Andray Blatche,BKN,South Kent Prep (CT),1986-08-22T00:00:00,1610612751,nets,A. Blatche,Brooklyn,andray_blatche,101154,Center-Forward,"Blatche, Andray",South Kent Prep (CT)/USA,Active,Nets,0
Ryan,Gomes,USA,Ryan Gomes,,Providence,1982-09-01T00:00:00,0,,R. Gomes,,ryan_gomes,101155,,"Gomes, Ryan",Providence/USA,Inactive,,
Amir,Johnson,USA,Amir Johnson,TOR,Westchester HS (Los Angeles),1987-05-01T00:00:00,1610612761,raptors,A. Johnson,Toronto,amir_johnson,101161,Forward,"Johnson, Amir","Westchester HS (Los Angeles, CA)/USA",Active,Raptors,15
Marcin,Gortat,Poland,Marcin Gortat,WAS,"Lodz, Poland",1984-02-17T00:00:00,1610612764,wizards,M. Gortat,Washington,marcin_gortat,101162,Center,"Gortat, Marcin",RheinEnergie Cologne/Germany,Active,Wizards,4
Ronnie,Price,USA,Ronnie Price,ORL,Utah Valley University,1983-06-21T00:00:00,1610612753,magic,R. Price,Orlando,ronnie_price,101179,Guard,"Price, Ronnie",Utah Valley University/USA,Active,Magic,10
Jose,Calderon,Spain,Jose Calderon,DAL,"Villanueva de la Serena, Spain",1981-09-28T00:00:00,1610612742,mavericks,J. Calderon,Dallas,jose_calderon,101181,Guard,"Calderon, Jose",Tau Ceramica/Spain,Active,Mavericks,8
Shavlik,Randolph,USA,Shavlik Randolph,PHX,Duke,1983-11-24T00:00:00,1610612756,suns,S. Randolph,Phoenix,shavlik_randolph,101183,Forward,"Randolph, Shavlik",Duke/USA,Active,Suns,43
Alan,Anderson,USA,Alan Anderson,BKN,Michigan State,1982-10-16T00:00:00,1610612751,nets,A. Anderson,Brooklyn,alan_anderson,101187,Forward-Guard,"Anderson, Alan",Michigan State/USA,Active,Nets,6
Will,Bynum,USA,Will Bynum,DET,Georgia Tech,1983-01-04T00:00:00,1610612765,pistons,W. Bynum,Detroit,will_bynum,101198,Guard,"Bynum, Will",Georgia Tech/USA,Active,Pistons,12
Charles,Hayes,USA,Charles Hayes,TOR,Kentucky,1983-06-11T00:00:00,1610612761,raptors,C. Hayes,Toronto,chuck_hayes,101236,Forward,"Hayes, Charles",Kentucky/USA,Active,Raptors,44
Charles,Hayes,USA,Charles Hayes,TOR,Kentucky,1983-06-11T00:00:00,1610612761,raptors,C. Hayes,Toronto,chuck_hayes,101236,Forward,"Hayes, Charles",Kentucky/USA,Active,Raptors,44
Charles,Hayes,USA,Charles Hayes,TOR,Kentucky,1983-06-11T00:00:00,1610612761,raptors,C. Hayes,Toronto,chuck_hayes,101236,Forward,"Hayes, Charles",Kentucky/USA,Active,Raptors,44
John,Lucas III,USA,John Lucas III,UTA,Oklahoma State,1982-11-21T00:00:00,1610612762,jazz,J. Lucas III,Utah,john_iii_lucas,101249,Guard,"Lucas III, John",Oklahoma State/USA,Active,Jazz,5
Tim,Duncan,U.S. Virgin Islands,Tim Duncan,SAS,Wake Forest,1976-04-25T00:00:00,1610612759,spurs,T. Duncan,San Antonio,tim_duncan,1495,Forward,"Duncan, Tim",Wake Forest/U.S. Virgin Islands,Active,Spurs,21
Chauncey,Billups,USA,Chauncey Billups,DET,Colorado,1976-09-25T00:00:00,1610612765,pistons,C. Billups,Detroit,chauncey_billups,1497,Guard,"Billups, Chauncey",Colorado/USA,Active,Pistons,1
Stephen,Jackson,USA,Stephen Jackson,,Butler C.C. (KS),1978-04-05T00:00:00,0,,S. Jackson,,stephen_jackson,1536,,"Jackson, Stephen","Oak Hill Academy (Mouth of Wilson, VA)/USA",Inactive,,
Antawn,Jamison,USA,Antawn Jamison,,North Carolina,1976-06-12T00:00:00,0,,A. Jamison,,antawn_jamison,1712,,"Jamison, Antawn",North Carolina/USA,Inactive,,
Vince,Carter,USA,Vince Carter,DAL,North Carolina,1977-01-26T00:00:00,1610612742,mavericks,V. Carter,Dallas,vince_carter,1713,Guard-Forward,"Carter, Vince",North Carolina/USA,Active,Mavericks,25
Dirk,Nowitzki,Germany,Dirk Nowitzki,DAL,"Wurzburg, Germany",1978-06-19T00:00:00,1610612742,mavericks,D. Nowitzki,Dallas,dirk_nowitzki,1717,Forward,"Nowitzki, Dirk",DJK Wurzburg/Germany,Active,Mavericks,41
Paul,Pierce,USA,Paul Pierce,BKN,Kansas,1977-10-13T00:00:00,1610612751,nets,P. Pierce,Brooklyn,paul_pierce,1718,Forward,"Pierce, Paul",Kansas/USA,Active,Nets,34
Al,Harrington,USA,Al Harrington,WAS,St. Patrick's HS (NJ),1980-02-17T00:00:00,1610612764,wizards,A. Harrington,Washington,al_harrington,1733,Forward,"Harrington, Al","St. Patrick's HS (Elizabeth, NJ)/USA",Active,Wizards,7
Nazr,Mohammed,USA,Nazr Mohammed,CHI,Kentucky,1977-09-05T00:00:00,1610612741,bulls,N. Mohammed,Chicago,nazr_mohammed,1737,Center,"Mohammed, Nazr",Kentucky/USA,Active,Bulls,48
Rashard,Lewis,USA,Rashard Lewis,MIA,Alief Elsik HS (TX),1979-08-08T00:00:00,1610612748,heat,R. Lewis,Miami,rashard_lewis,1740,Forward,"Lewis, Rashard",Alief Elsik HS (TX)/USA,Active,Heat,9
Elton,Brand,USA,Elton Brand,ATL,Duke,1979-03-11T00:00:00,1610612737,hawks,E. Brand,Atlanta,elton_brand,1882,Forward,"Brand, Elton",Duke/USA,Active,Hawks,42
Andre,Miller,USA,Andre Miller,WAS,Utah,1976-03-19T00:00:00,1610612764,wizards,A. Miller,Washington,andre_miller,1889,Guard,"Miller, Andre",Utah/USA,Active,Wizards,24
Andre,Miller,USA,Andre Miller,WAS,Utah,1976-03-19T00:00:00,1610612764,wizards,A. Miller,Washington,andre_miller,1889,Guard,"Miller, Andre",Utah/USA,Active,Wizards,24
Andre,Miller,USA,Andre Miller,WAS,Utah,1976-03-19T00:00:00,1610612764,wizards,A. Miller,Washington,andre_miller,1889,Guard,"Miller, Andre",Utah/USA,Active,Wizards,24
Shawn,Marion,USA,Shawn Marion,DAL,UNLV,1978-05-07T00:00:00,1610612742,mavericks,S. Marion,Dallas,shawn_marion,1890,Forward,"Marion, Shawn",UNLV/USA,Active,Mavericks,0
Jason,Terry,USA,Jason Terry,SAC,Arizona,1977-09-15T00:00:00,1610612758,kings,J. Terry,Sacramento,jason_terry,1891,Guard,"Terry, Jason",Arizona/USA,Active,Kings,31
Metta,World Peace,USA,Metta World Peace,,"St. John's, N.Y.",1979-11-13T00:00:00,0,,M. World Peace,,metta_world_peace,1897,,"World Peace, Metta",St. John's/USA,Inactive,,
Andrei,Kirilenko,Russia,Andrei Kirilenko,BKN,"St. Petersburg, Russia",1981-02-18T00:00:00,1610612751,nets,A. Kirilenko,Brooklyn,andrei_kirilenko,1905,Forward,"Kirilenko, Andrei","St. Petersburg, Russia",Active,Nets,47
Manu,Ginobili,Argentina,Manu Ginobili,SAS,"Bahia Blanca, Argentina",1977-07-28T00:00:00,1610612759,spurs,M. Ginobili,San Antonio,emanuel_ginobili,1938,Guard,"Ginobili, Manu",Kinder Bologna/Argentina,Active,Spurs,20
Andrea,Bargnani,Italy,Andrea Bargnani,NYK,"Rome, Italy",1985-10-26T00:00:00,1610612752,knicks,A. Bargnani,New York,andrea_bargnani,200745,Center-Forward,"Bargnani, Andrea",Benetton Treviso/Italy,Active,Knicks,77
LaMarcus,Aldridge,USA,LaMarcus Aldridge,POR,Texas,1985-07-19T00:00:00,1610612757,blazers,L. Aldridge,Portland,lamarcus_aldridge,200746,Forward,"Aldridge, LaMarcus",Texas/USA,Active,Trail Blazers,12
Randy,Foye,USA,Randy Foye,DEN,Villanova,1983-09-24T00:00:00,1610612743,nuggets,R. Foye,Denver,randy_foye,200751,Guard,"Foye, Randy",Villanova/USA,Active,Nuggets,4
Rudy,Gay,USA,Rudy Gay,SAC,Connecticut,1986-08-17T00:00:00,1610612758,kings,R. Gay,Sacramento,rudy_gay,200752,Forward,"Gay, Rudy",Connecticut/USA,Active,Kings,8
Rudy,Gay,USA,Rudy Gay,SAC,Connecticut,1986-08-17T00:00:00,1610612758,kings,R. Gay,Sacramento,rudy_gay,200752,Forward,"Gay, Rudy",Connecticut/USA,Active,Kings,8
Rudy,Gay,USA,Rudy Gay,SAC,Connecticut,1986-08-17T00:00:00,1610612758,kings,R. Gay,Sacramento,rudy_gay,200752,Forward,"Gay, Rudy",Connecticut/USA,Active,Kings,8
JJ,Redick,USA,JJ Redick,LAC,Duke,1984-06-24T00:00:00,1610612746,clippers,J. Redick,Los Angeles,jj_redick,200755,Guard,"Redick, JJ",Duke/USA,Active,Clippers,4
Hilton,Armstrong,USA,Hilton Armstrong,GSW,Connecticut,1984-11-23T00:00:00,1610612744,warriors,H. Armstrong,Golden State,hilton_armstrong,200756,Forward-Center,"Armstrong, Hilton",Connecticut/USA,Active,Warriors,57
Thabo,Sefolosha,Switzerland,Thabo Sefolosha,OKC,"Vevey, Switzerland",1984-05-02T00:00:00,1610612760,thunder,T. Sefolosha,Oklahoma City,thabo_sefolosha,200757,Guard,"Sefolosha, Thabo",Angelico Biella/Switzerland,Active,Thunder,25
Ronnie,Brewer,USA,Ronnie Brewer,CHI,Arkansas,1985-03-20T00:00:00,1610612741,bulls,R. Brewer,Chicago,ronnie_brewer,200758,Forward,"Brewer, Ronnie",Arkansas/USA,Active,Bulls,11
Ronnie,Brewer,USA,Ronnie Brewer,CHI,Arkansas,1985-03-20T00:00:00,1610612741,bulls,R. Brewer,Chicago,ronnie_brewer,200758,Forward,"Brewer, Ronnie",Arkansas/USA,Active,Bulls,11
Ronnie,Brewer,USA,Ronnie Brewer,CHI,Arkansas,1985-03-20T00:00:00,1610612741,bulls,R. Brewer,Chicago,ronnie_brewer,200758,Forward,"Brewer, Ronnie",Arkansas/USA,Active,Bulls,11
Shawne,Williams,USA,Shawne Williams,,Memphis,1986-02-16T00:00:00,0,,S. Williams,,shawne_williams,200761,,"Williams, Shawne",Memphis/USA,Inactive,,
Rajon,Rondo,USA,Rajon Rondo,BOS,Kentucky,1986-02-22T00:00:00,1610612738,celtics,R. Rondo,Boston,rajon_rondo,200765,Guard,"Rondo, Rajon",Kentucky/USA,Active,Celtics,9
Kyle,Lowry,USA,Kyle Lowry,TOR,Villanova,1986-03-25T00:00:00,1610612761,raptors,K. Lowry,Toronto,kyle_lowry,200768,Guard,"Lowry, Kyle",Villanova/USA,Active,Raptors,7
Shannon,Brown,USA,Shannon Brown,NYK,Michigan State,1985-11-29T00:00:00,1610612752,knicks,S. Brown,New York,shannon_brown,200769,Guard,"Brown, Shannon",Michigan State/USA,Active,Knicks,26
Shannon,Brown,USA,Shannon Brown,NYK,Michigan State,1985-11-29T00:00:00,1610612752,knicks,S. Brown,New York,shannon_brown,200769,Guard,"Brown, Shannon",Michigan State/USA,Active,Knicks,26
Shannon,Brown,USA,Shannon Brown,NYK,Michigan State,1985-11-29T00:00:00,1610612752,knicks,S. Brown,New York,shannon_brown,200769,Guard,"Brown, Shannon",Michigan State/USA,Active,Knicks,26
Jordan,Farmar,USA,Jordan Farmar,LAL,UCLA,1986-11-30T00:00:00,1610612747,lakers,J. Farmar,Los Angeles,jordan_farmar,200770,Guard,"Farmar, Jordan",UCLA/USA,Active,Lakers,1
Joel,Freeland,England,Joel Freeland,POR,England,1987-02-07T00:00:00,1610612757,blazers,J. Freeland,Portland,joel_freeland,200777,Center-Forward,"Freeland, Joel",Farnborough College (England)/England,Active,Trail Blazers,19
Steve,Novak,USA,Steve Novak,TOR,Marquette,1983-06-13T00:00:00,1610612761,raptors,S. Novak,Toronto,steve_novak,200779,Forward,"Novak, Steve",Marquette/USA,Active,Raptors,16
Solomon,Jones,USA,Solomon Jones,,South Florida,1984-07-16T00:00:00,0,,S. Jones,,solomon_jones,200780,,"Jones, Solomon",South Florida/USA,Inactive,,
PJ,Tucker,USA,PJ Tucker,PHX,Texas,1985-05-05T00:00:00,1610612756,suns,P. Tucker,Phoenix,pj_tucker,200782,Forward-Guard,"Tucker, PJ",Texas/USA,Active,Suns,17
Paul,Millsap,USA,Paul Millsap,ATL,Louisiana Tech,1985-02-10T00:00:00,1610612737,hawks,P. Millsap,Atlanta,paul_millsap,200794,Forward,"Millsap, Paul",Louisiana Tech/USA,Active,Hawks,4
Ryan,Hollins,USA,Ryan Hollins,LAC,UCLA,1984-10-10T00:00:00,1610612746,clippers,R. Hollins,Los Angeles,ryan_hollins,200797,Center,"Hollins, Ryan",UCLA/USA,Active,Clippers,15
Lou,Amundson,USA,Lou Amundson,CHI,UNLV,1982-12-07T00:00:00,1610612741,bulls,L. Amundson,Chicago,lou_amundson,200811,Forward,"Amundson, Lou",Nevada-Las Vegas/USA,Active,Bulls,17
Lou,Amundson,USA,Lou Amundson,CHI,UNLV,1982-12-07T00:00:00,1610612741,bulls,L. Amundson,Chicago,lou_amundson,200811,Forward,"Amundson, Lou",Nevada-Las Vegas/USA,Active,Bulls,17
Lou,Amundson,USA,Lou Amundson,CHI,UNLV,1982-12-07T00:00:00,1610612741,bulls,L. Amundson,Chicago,lou_amundson,200811,Forward,"Amundson, Lou",Nevada-Las Vegas/USA,Active,Bulls,17
Jose Juan,Barea,Puerto Rico,Jose Juan Barea,MIN,Northeastern,1984-06-26T00:00:00,1610612750,timberwolves,J. Barea,Minnesota,jose_barea,200826,Guard,"Barea, Jose Juan",Northeastern/Puerto Rico,Active,Timberwolves,11
Michael,Harris,USA,Michael Harris,,Rice,1983-06-15T00:00:00,0,,M. Harris,,mike_harris,200839,,"Harris, Michael",Rice/USA,Inactive,,
Greg,Oden,USA,Greg Oden,MIA,Ohio State,1988-01-22T00:00:00,1610612748,heat,G. Oden,Miami,greg_oden,201141,Center,"Oden, Greg",Ohio State/USA,Active,Heat,20
Kevin,Durant,USA,Kevin Durant,OKC,Texas,1988-09-29T00:00:00,1610612760,thunder,K. Durant,Oklahoma City,kevin_durant,201142,Forward,"Durant, Kevin",Texas/USA,Active,Thunder,35
Al,Horford,Dominican Republic,Al Horford,ATL,Florida,1986-06-03T00:00:00,1610612737,hawks,A. Horford,Atlanta,al_horford,201143,Center-Forward,"Horford, Al",Florida/Dominican Republic,Active,Hawks,15
Mike,Conley,USA,Mike Conley,MEM,Ohio State,1987-10-11T00:00:00,1610612763,grizzlies,M. Conley,Memphis,mike_conley,201144,Guard,"Conley, Mike",Ohio State/USA,Active,Grizzlies,11
Jeff,Green,USA,Jeff Green,BOS,Georgetown,1986-08-28T00:00:00,1610612738,celtics,J. Green,Boston,jeff_green,201145,Forward,"Green, Jeff",Georgetown/USA,Active,Celtics,8
Corey,Brewer,USA,Corey Brewer,MIN,Florida,1986-03-05T00:00:00,1610612750,timberwolves,C. Brewer,Minnesota,corey_brewer,201147,Forward,"Brewer, Corey",Florida/USA,Active,Timberwolves,13
Brandan,Wright,USA,Brandan Wright,DAL,North Carolina,1987-10-05T00:00:00,1610612742,mavericks,B. Wright,Dallas,brandan_wright,201148,Forward,"Wright, Brandan",North Carolina/USA,Active,Mavericks,34
Joakim,Noah,USA,Joakim Noah,CHI,Florida,1985-02-25T00:00:00,1610612741,bulls,J. Noah,Chicago,joakim_noah,201149,Center,"Noah, Joakim",Florida/USA,Active,Bulls,13
Spencer,Hawes,USA,Spencer Hawes,CLE,Washington,1988-04-28T00:00:00,1610612739,cavaliers,S. Hawes,Cleveland,spencer_hawes,201150,Center,"Hawes, Spencer",Washington/USA,Active,Cavaliers,32
Spencer,Hawes,USA,Spencer Hawes,CLE,Washington,1988-04-28T00:00:00,1610612739,cavaliers,S. Hawes,Cleveland,spencer_hawes,201150,Center,"Hawes, Spencer",Washington/USA,Active,Cavaliers,32
Spencer,Hawes,USA,Spencer Hawes,CLE,Washington,1988-04-28T00:00:00,1610612739,cavaliers,S. Hawes,Cleveland,spencer_hawes,201150,Center,"Hawes, Spencer",Washington/USA,Active,Cavaliers,32
Thaddeus,Young,USA,Thaddeus Young,PHI,Georgia Tech,1988-06-21T00:00:00,1610612755,sixers,T. Young,Philadelphia,thaddeus_young,201152,Forward,"Young, Thaddeus",Georgia Tech/USA,Active,76ers,21
Rodney,Stuckey,USA,Rodney Stuckey,DET,Eastern Washington,1986-04-21T00:00:00,1610612765,pistons,R. Stuckey,Detroit,rodney_stuckey,201155,Guard,"Stuckey, Rodney",Eastern Washington/USA,Active,Pistons,3
Nick,Young,USA,Nick Young,LAL,USC,1985-06-01T00:00:00,1610612747,lakers,N. Young,Los Angeles,nick_young,201156,Forward-Guard,"Young, Nick",USC/USA,Active,Lakers,0
Marco,Belinelli,Italy,Marco Belinelli,SAS,"Bologna, Italy",1986-03-25T00:00:00,1610612759,spurs,M. Belinelli,San Antonio,marco_belinelli,201158,Guard,"Belinelli, Marco",Fortitudo Bologna/Italy,Active,Spurs,3
Jason,Smith,USA,Jason Smith,NOP,Colorado State,1986-03-02T00:00:00,1610612740,pelicans,J. Smith,New Orleans,jason_smith,201160,Center-Forward,"Smith, Jason",Colorado State/USA,Active,Pelicans,14
Jared,Dudley,USA,Jared Dudley,LAC,Boston College,1985-07-10T00:00:00,1610612746,clippers,J. Dudley,Los Angeles,jared_dudley,201162,Forward,"Dudley, Jared",Boston College/USA,Active,Clippers,9
Wilson,Chandler,USA,Wilson Chandler,DEN,DePaul,1987-05-10T00:00:00,1610612743,nuggets,W. Chandler,Denver,wilson_chandler,201163,Forward,"Chandler, Wilson",DePaul/USA,Active,Nuggets,21
Aaron,Brooks,USA,Aaron Brooks,DEN,Oregon,1985-01-14T00:00:00,1610612743,nuggets,A. Brooks,Denver,aaron_brooks,201166,Guard,"Brooks, Aaron",Oregon/USA,Active,Nuggets,0
Aaron,Brooks,USA,Aaron Brooks,DEN,Oregon,1985-01-14T00:00:00,1610612743,nuggets,A. Brooks,Denver,aaron_brooks,201166,Guard,"Brooks, Aaron",Oregon/USA,Active,Nuggets,0
Aaron,Brooks,USA,Aaron Brooks,DEN,Oregon,1985-01-14T00:00:00,1610612743,nuggets,A. Brooks,Denver,aaron_brooks,201166,Guard,"Brooks, Aaron",Oregon/USA,Active,Nuggets,0
Arron,Afflalo,USA,Arron Afflalo,ORL,UCLA,1985-10-15T00:00:00,1610612753,magic,A. Afflalo,Orlando,arron_afflalo,201167,Guard-Forward,"Afflalo, Arron",UCLA/USA,Active,Magic,4
Tiago,Splitter,Brazil,Tiago Splitter,SAS,"Blumenau, Brazil",1985-01-01T00:00:00,1610612759,spurs,T. Splitter,San Antonio,tiago_splitter,201168,Center,"Splitter, Tiago",Saski Baskonia/Brazil,Active,Spurs,22
Carl,Landry,USA,Carl Landry,SAC,Purdue,1983-09-19T00:00:00,1610612758,kings,C. Landry,Sacramento,carl_landry,201171,Forward,"Landry, Carl",Purdue/USA,Active,Kings,24
Glen,Davis,USA,Glen Davis,LAC,Louisiana State,1986-01-01T00:00:00,1610612746,clippers,G. Davis,Los Angeles,glen_davis,201175,Forward-Center,"Davis, Glen",Louisiana State/USA,Active,Clippers,0
Glen,Davis,USA,Glen Davis,LAC,Louisiana State,1986-01-01T00:00:00,1610612746,clippers,G. Davis,Los Angeles,glen_davis,201175,Forward-Center,"Davis, Glen",Louisiana State/USA,Active,Clippers,0
Glen,Davis,USA,Glen Davis,LAC,Louisiana State,1986-01-01T00:00:00,1610612746,clippers,G. Davis,Los Angeles,glen_davis,201175,Forward-Center,"Davis, Glen",Louisiana State/USA,Active,Clippers,0
Josh,McRoberts,USA,Josh McRoberts,CHA,Duke,1987-02-28T00:00:00,1610612766,bobcats,J. McRoberts,Charlotte,josh_mcroberts,201177,Forward,"McRoberts, Josh",Duke/USA,Active,Bobcats,11
Marc,Gasol,Spain,Marc Gasol,MEM,"Barcelona, Spain",1985-01-29T00:00:00,1610612763,grizzlies,M. Gasol,Memphis,marc_gasol,201188,Center,"Gasol, Marc",FC Barcelona/Spain,Active,Grizzlies,33
Aaron,Gray,USA,Aaron Gray,SAC,Pittsburgh,1984-12-07T00:00:00,1610612758,kings,A. Gray,Sacramento,aaron_gray,201189,Center,"Gray, Aaron",Pittsburgh/USA,Active,Kings,33
Aaron,Gray,USA,Aaron Gray,SAC,Pittsburgh,1984-12-07T00:00:00,1610612758,kings,A. Gray,Sacramento,aaron_gray,201189,Center,"Gray, Aaron",Pittsburgh/USA,Active,Kings,33
Aaron,Gray,USA,Aaron Gray,SAC,Pittsburgh,1984-12-07T00:00:00,1610612758,kings,A. Gray,Sacramento,aaron_gray,201189,Center,"Gray, Aaron",Pittsburgh/USA,Active,Kings,33
Ramon,Sessions,USA,Ramon Sessions,MIL,Nevada-Reno,1986-04-11T00:00:00,1610612749,bucks,R. Sessions,Milwaukee,ramon_sessions,201196,Guard,"Sessions, Ramon",Nevada-Reno/USA,Active,Bucks,13
Ramon,Sessions,USA,Ramon Sessions,MIL,Nevada-Reno,1986-04-11T00:00:00,1610612749,bucks,R. Sessions,Milwaukee,ramon_sessions,201196,Guard,"Sessions, Ramon",Nevada-Reno/USA,Active,Bucks,13
